Function Name,State Variables Modified,Can Transfer Ether
balanceOf(address),,False
"transfer(address,uint256)",,False
transferOwnership(address),"owner, owner",False
buyTokens(address),"rate, weiRaised, weiRaised, atomToken, tokenAddr, atomToken",True
hasEnded(),endTime,False
hasEnded(),"weiRaised, cap",False
finalize(),"isFinalized, isFinalized",False
deposit(address),"state, deposited, deposited",False
close(),"state, state, wallet",True
enableRefunds(),"state, state",False
refund(address),"state, deposited, deposited",True
claimRefund(),"isFinalized, vault",True
goalReached(),"weiRaised, goal",False
destroy(),owner,False
destroyAndSend(address),,False
pause(),paused,False
unpause(),paused,False
"transfer(address,uint256)",,True
balanceOf(address),,False
"allowance(address,address)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
"transferFrom(address,address,uint256)",,True
"approve(address,uint256)",,True
"allowance(address,address)",,False
"mint(address,uint256)","totalSupply, totalSupply",False
finishMinting(),mintingFinished,False
