Function Name,State Variables Modified,Can Transfer Ether
Ownable(),owner,True
transferOwnership(address),"owner, owner",False
transferOwnership(address),pendingOwner,False
claimOwnership(),"owner, pendingOwner, owner, pendingOwner, pendingOwner",False
"setRefillFor(string,uint256,uint256)",,False
"setWidthrawFor(string,uint256,uint256)",,False
"setTransfer(uint256,uint256)",,True
getRefillStatFor(string),,False
getRefillPercFor(string),,False
getWidthrawStatFor(string),,False
getWidthrawPercFor(string),,False
getTransferPerc(),,True
getTransferStat(),,True
"calcWidthraw(string,uint256)",,False
"calcRefill(string,uint256)",,False
calcTransfer(uint256),,True
