Function Name,State Variables Modified,Can Transfer Ether
constructor(),manager,True
setOwners(),,False
getOwners(),owners,False
setManager(address),manager,False
constructor(),rate,False
"createMatch(uint,string,string,int32,uint64,uint64)","matches, matches, numMatches",False
"updateMatchInfo(uint,string,uint64,uint64)","matches, matches, matches",False
"announceMatchResult(uint,)","matches, matches, matches, rate, rate, rate, manager",True
"bet(uint,)","matches, predictions",True
"getBonus(uint,address)","matches, predictions",False
withdraw(uint),"matches, predictions",True
