Function Name,State Variables Modified,Can Transfer Ether
Ownable(),owner,True
transferOwnership(address),"owner, owner",False
totalSupply(),,False
balanceOf(address),,False
"transfer(address,uint256)",,False
"allowance(address,address)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
STBToken(),"supply, initialSupply, decimals, balances, initAddress, supply, initAddress, supply",False
balanceOf(address),balances,False
totalSupply(),supply,False
"transfer(address,uint256)",canTransfer,True
"transferFrom(address,address,uint256)","allowed, allowed",True
setCanTransfer(bool),"canTransfer, canTransfer",False
"airdrop(,)",,True
"allowance(address,uint256)","balances, allowed",True
"approve(address,uint256)",allowed,True
"allowance(address,address)",allowed,False
