Function Name,State Variables Modified,Can Transfer Ether
constructor(),owner,True
transferOwnership(address),owner,False
"receiveApproval(address,uint256,address,bytes)",,False
"constructor(string,string,uint8,uint256)","name, symbol, decimals, totalSupply, decimals, balanceOf, totalSupply",True
"transfer(address,uint256)",,True
"transferFrom(address,address,uint256)","allowance, allowance",True
"approve(address,uint256)",allowance,True
"approveAndCall(address,uint256,bytes)",,True
burn(uint256),"balanceOf, balanceOf, totalSupply",True
"burnFrom(address,uint256)","balanceOf, allowance, balanceOf, allowance, totalSupply",True
"constructor(string,string,uint8,uint256)",,False
"mint(address,uint256)","totalSupply, totalSupply, balanceOf, balanceOf",False
"sendFyle(address,address,string,string)",urls,True
"getUrlAtIndexOf(address,uint256)",urls,False
getUrlCountOf(address),urls,False
getMsgSender(),,True
