Function Name,State Variables Modified,Can Transfer Ether
f(bytes),,False
setProofType(byte),,False
setCustomGasPrice(uint),,False
getPrice(string),,False
randomDS_getSessionPubKeyHash(),,False
"getPrice(string,uint)",,False
"queryN(uint,string,bytes)",,False
"query(uint,string,string)",,False
"query2(uint,string,string,string)",,False
"query_withGasLimit(uint,string,string,uint)",,False
"queryN_withGasLimit(uint,string,bytes,uint)",,False
"query2_withGasLimit(uint,string,string,string,uint)",,False
getAddress(),,False
"__callback(bytes32,string)",,True
"__callback(bytes32,string,bytes)",,False
constructor(),,True
addOwner(address),,False
delOwner(address),,False
isOwner(address),,False
"receiveApproval(address,uint256,address,bytes)",,False
constructor(),"balanceOf, totalSupply, state",True
function()externalpayable{buyTokens(msg.sender);}(),,True
"__callback(bytes32,string,bytes)",curs,True
"transfer(address,uint256)",,True
"transferFrom(address,address,uint256)","allowance, allowance, allowance",True
"approve(address,uint256)","allowance, allowance",True
"approveAndCall(address,uint256,bytes)",,True
"transferOwner(address,uint256)",,True
buyTokens(address),"curs, tokensForSale, tokensForSale, tokensForSale, USDRaised, USDRaised, curs",True
"manualSale(address,uint,uint)","tokensForSale, tokensForSale, USDRaised, USDRaised, curs",True
enableRefunds(),"USDRaised, goal, state",False
close(),"USDRaised, goal, state",False
refund(address),state,True
withdrawBalance(),state,True
burn(uint256),"balanceOf, balanceOf, balanceOf",True
updateCurs(uint256),curs,False
updatePrice(),,False
setGasPrice(uint),,False
addBalanceForOraclize(),"oraclizeBalance, oraclizeBalance",False
