Function Name,State Variables Modified,Can Transfer Ether
"changePermission(address,uint8)",agents,True
changeStatus(bool),status,True
getTotalDonateWEIInfo(),totalDonateWEI,False
withdrawDonateWEI(address),"totalDonateWEI, totalDonateWEI, totalDonateWEI",True
"random(uint256,uint256)",,False
getOverBalanceWEIInfo(),overBalanceWEI,False
getBankBalanceWEIInfo(),bankBalanceWEI,False
getCommissionBalanceWEIInfo(),commissionBalanceWEI,False
withdrawOverBalanceWEI(address),"overBalanceWEI, overBalanceWEI, overBalanceWEI",True
withdrawCommissionBalanceWEI(address),"commissionBalanceWEI, commissionBalanceWEI, commissionBalanceWEI",True
getAgentId(address),"agentAddressId, agentIdAddress, agentIdAddress, agentAddressId",False
getAgentAdress(uint256),"agentIdAddress, agentIdAddress",False
getAgentBetsSum(uint256),"agentIdBetsSum, agentIdBetsSum",False
getAgentBankBalanceWEI(uint256),"agentIdBankBalanceWEI, agentIdBankBalanceWEI",False
getPositionBetAgent(uint256),"betsNumAgentId, betsNumAgentId",False
getAgentsNum(),agentIdAddress,False
"changeGameSettings(uint256,uint256,uint256,uint256,bool,uint256)","betsNum, betSizeFINNEY, totalBets, limitAgentBets, commissionPCT, commissionType, timeoutSEC",True
bet(),"agentIdAddress, agentIdAddress, agentAddressId, agentIdBetsSum, agentIdBankBalanceWEI, bankBalanceWEI, bankBalanceWEI, agentIdBankBalanceWEI, betSizeFINNEY, betsNum, totalBets, totalBets, betsNum, limitAgentBets, limitAgentBets, agentIdBetsSum, betsNumAgentId, betsNum, betsNumAgentId, betsNum, betsNum, roundNum, lastBetTimeSEC, betsNum, totalBets",True
playForcibly(),"timeoutSEC, lastBetTimeSEC",False
