Function Name,State Variables Modified,Can Transfer Ether
"transfer(address,uint256)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
balanceOf(address),,False
"allowance(address,address)",,False
"transfer(address,uint256)",,True
"transferFrom(address,address,uint256)",,True
"approve(address,uint256)",,True
balanceOf(address),,False
"allowance(address,address)",,False
"transferFrom(address,address,uint256)",,True
"constructor(address,address)","minter, rigoblock, totalSupply",True
"mintToken(address,uint256)","totalSupply, totalSupply",False
changeMintingAddress(address),minter,False
changeRigoblockAddress(address),rigoblock,False
