Function Name,State Variables Modified,Can Transfer Ether
"approve(address,uint256)",,False
balanceOf(address),,False
implementsERC721(),,False
ownerOf(uint256),,False
takeOwnership(uint256),,False
totalSupply(),,False
"transferFrom(address,address,uint256)",,False
"transfer(address,uint256)",,False
EtherItem23(),"ceoAddress, cooAddress",True
"approve(address,uint256)",item23IndexToApproved,True
balanceOf(address),ownershipTokenCount,False
"createContractItem23(string,string)",,False
getItem23(uint256),"item23s, item23IndexToPrice, item23IndexToOwner, item23IndexToPreviousPrice, item23IndexToPreviousOwners",False
implementsERC721(),,False
name(),NAME,False
ownerOf(uint256),item23IndexToOwner,False
payout(address),,False
purchase(uint256),"item23IndexToOwner, item23IndexToPreviousOwners, item23IndexToPrice, item23IndexToPreviousPrice, item23IndexToPrice, item23IndexToPreviousPrice, ceoAddress",True
priceOf(uint256),item23IndexToPrice,False
setCEO(address),ceoAddress,False
setCOO(address),cooAddress,False
symbol(),SYMBOL,False
takeOwnership(uint256),item23IndexToOwner,True
tokensOfOwner(address),item23IndexToOwner,False
totalSupply(),item23s,False
"transfer(address,uint256)",,True
"transferFrom(address,address,uint256)",,True
