Function Name,State Variables Modified,Can Transfer Ether
TwoXJackpot(),"contractOwner, gameStartTime, timeBetweenGames, lastAction, gameStartTime",True
changeStartTime(uint256),"gameStartTime, lastAction, gameStartTime",False
updateTimeBetweenGames(uint256),timeBetweenGames,False
seed(),jackpotBalance,True
purchase(),"lastAction, timeBeforeJackpot, jackpotLastQualified, jackpotBalance, minMinBuyETH, minMaxBuyETH, minBuy, maxBuy, jackpotBalance, jackpotBalance, buyFee, jackpotBalance, jackpotLastQualified, lastAction, timeBeforeJackpot, timeIncreasePerTx, games, gameIndex, games, gameIndex, games, gameIndex, games, gameIndex, games, gameIndex, games, gameIndex, games, gameIndex, games, gameIndex, games, gameIndex, games, gameIndex, games, gameIndex, games, gameIndex, games, gameIndex, games, gameIndex, games, gameIndex, games, gameIndex, games, gameIndex, games, gameIndex",True
claim(),"lastAction, timeBeforeJackpot, jackpotLastQualified, jackpotBalance, gameReseeds, jackpotCount, jackpotBalance, jackpotLastQualified, jackpotBalance, jackpotLastWinner, jackpotLastQualified, jackpotLastPayout, games, gameIndex, jackpotLastQualified, games, gameIndex, timeBeforeJackpot, timeBeforeJackpotReset, jackpotLastQualified, jackpotCount, gameReseeds, gameStartTime, timeBetweenGames, lastAction, gameStartTime, gameIndex, jackpotCount, lastAction, timeBetweenRounds, roundStartTime, lastAction, jackpotCount",True
function()publicpayable{purchase();}(),,False
getJackpotInfo(),"jackpotBalance, jackpotLastQualified, jackpotLastWinner, jackpotLastPayout, jackpotCount, gameIndex, gameStartTime, lastAction, timeBeforeJackpot, roundStartTime",False
"getPlayerGameInfo(uint256,address)","games, games, games",False
getMyGameInfo(),gameIndex,True
getGameConstants(),"timeBetweenGames, timeBeforeJackpot, minMinBuyETH, minMaxBuyETH, minBuy, maxBuy, gameReseeds",False
getGameInfo(uint256),"games, games, games, games, games",False
getCurrentGameInfo(),gameIndex,False
getGameStartTime(),gameStartTime,False
getJackpotRoundEndTime(),"lastAction, timeBeforeJackpot",False
