Function Name,State Variables Modified,Can Transfer Ether
constructor(),owner,True
renounceOwnership(),"owner, owner",False
transferOwnership(address),,True
constructor(),admin,True
transferAdmin(address),"admin, admin",False
balanceOf(address),,False
ownerOf(uint256),,False
exists(uint256),,False
"approve(address,uint256)",,False
getApproved(uint256),,False
"setApprovalForAll(address,bool)",,False
"isApprovedForAll(address,address)",,False
"transferFrom(address,address,uint256)",,False
"safeTransferFrom(address,address,uint256)",,False
"safeTransferFrom(address,address,uint256,bytes)",,False
totalSupply(),,False
"tokenOfOwnerByIndex(address,uint256)",,False
tokenByIndex(uint256),,False
name(),,False
symbol(),,False
tokenURI(uint256),,False
"onERC721Received(address,uint256,bytes)",,False
balanceOf(address),ownedTokensCount,False
ownerOf(uint256),"tokenOwner, owner, owner",False
exists(uint256),"tokenOwner, owner",False
"approve(address,uint256)","owner, owner, owner, tokenApprovals, owner",True
getApproved(uint256),tokenApprovals,False
"setApprovalForAll(address,bool)",operatorApprovals,True
"isApprovedForAll(address,address)",operatorApprovals,False
"transferFrom(address,address,uint256)",,False
"safeTransferFrom(address,address,uint256)",,False
"safeTransferFrom(address,address,uint256,bytes)",,True
"constructor(string,string)","name_, symbol_",False
name(),name_,False
symbol(),symbol_,False
tokenURI(uint256),tokenURIs,False
"tokenOfOwnerByIndex(address,uint256)",ownedTokens,False
totalSupply(),allTokens,False
tokenByIndex(uint256),allTokens,False
ownerOfUUID(string),"uuidExists, uuidToTokenId",False
tokenIdOfUUID(string),"uuidExists, uuidToTokenId",False
getToken(uint256),,False
isTokenLocked(uint256),lockedTokens,False
verifyUser(string),,True
tokensByOwner(address),ownedTokens,False
lockTrading(),"tradingLocked, tradingLocked",False
unlockTrading(),"tradingLocked, tradingLocked",False
"createToken(string,string,address)","uuidExists, uuidToTokenId, uuidExists, lockedTokens",False
"updateToken(string,string)","uuidExists, uuidToTokenId",False
destroyToken(uint256),"lockedTokens, uuidExists, uuidToTokenId, lockedTokens",False
"lockToken(address,uint256)","lockedTokens, lockedTokens",False
"unlockToken(address,uint256)","lockedTokens, lockedTokens",False
"setOwner(address,uint256)","lockedTokens, tradingLocked",False
"transferFrom(address,address,uint256)","tradingLocked, lockedTokens",True
"approve(address,uint256)","tradingLocked, lockedTokens",False
"setApprovalForAll(address,bool)",tradingLocked,False
