Function Name,State Variables Modified,Can Transfer Ether
AcceptsExchange(address),tokenContract,False
"tokenFallback(address,uint256,bytes)",,False
"tokenFallbackExpanded(address,uint256,bytes,address,address)",,False
cryptowars(),"allowHalfLife, allowReferral, administrators, ambassadors_, ambassadors_, ambassadors_, ambassadors_, ambassadors_, ambassadors_, ambassadors_, ambassadors_, ambassadors_, ambassadors_, ambassadors_, ambassadors_, ambassadors_, cardOwner, cardPrice, basePrice, cardPrice, cardPreviousPrice, cardOwner, cardPrice, basePrice, cardPrice, cardPreviousPrice, cardOwner, cardPrice, basePrice, cardPrice, cardPreviousPrice, cardOwner, cardPrice, basePrice, cardPrice, cardPreviousPrice, cardOwner, cardPrice, basePrice, cardPrice, cardPreviousPrice, cardOwner, cardPrice, basePrice, cardPrice, cardPreviousPrice, cardOwner, cardPrice, basePrice, cardPrice, cardPreviousPrice, cardOwner, cardPrice, basePrice, cardPrice, cardPreviousPrice, cardOwner, cardPrice, basePrice, cardPrice, cardPreviousPrice, cardOwner, cardPrice, basePrice, cardPrice, cardPreviousPrice, cardOwner, cardPrice, basePrice, cardPrice, cardPreviousPrice, cardOwner, cardPrice, basePrice, cardPrice, cardPreviousPrice",True
buy(address),,False
"function()payablepublic{purchaseTokens(msg.value,0x0);}()",,False
reinvest(),"payoutsTo_, magnitude, referralBalance_, ownerAccounts, referralBalance_, ownerAccounts",True
exit(),tokenBalanceLedger_,True
withdraw(),"payoutsTo_, magnitude, referralBalance_, ownerAccounts, referralBalance_, ownerAccounts",True
sell(uint256),"tokenBalanceLedger_, dividendFee_, tokenSupply_, tokenSupply_, tokenBalanceLedger_, tokenBalanceLedger_, profitPerShare_, magnitude, payoutsTo_, tokenSupply_, profitPerShare_, profitPerShare_, magnitude, tokenSupply_",True
"transfer(address,uint256)","onlyAmbassadors, tokenBalanceLedger_, dividendFee_, tokenSupply_, tokenSupply_, tokenBalanceLedger_, tokenBalanceLedger_, tokenBalanceLedger_, tokenBalanceLedger_, payoutsTo_, profitPerShare_, payoutsTo_, profitPerShare_, profitPerShare_, profitPerShare_, magnitude, tokenSupply_",True
disableInitialStage(),onlyAmbassadors,False
"setAdministrator(address,bool)",administrators,False
setInv1(address),,False
setInv2(address),,False
setInv3(address),,False
"setFeeRates(uint8,uint8,uint8)","dividendFee_, investorFeeRate_, cardInsuranceFeeRate_",False
setContractActive(bool),boolContractActive,False
setCardActive(bool),boolCardActive,False
setStakingRequirement(uint256),stakingRequirement,False
setName(string),name,False
setSymbol(string),symbol,False
setMaxCards(uint),maxCards,False
setHalfLifeTime(uint),halfLifeTime,False
setHalfLifeRate(uint),halfLifeRate,False
addNewCard(uint),"maxCards, cardPrice, basePrice, cardPrice, cardOwner, totalCardDivs, cardPreviousPrice",False
addAmbassador(address),ambassadors_,False
totalEthereumBalance(),,False
totalSupply(),tokenSupply_,False
myTokens(),,True
myDividends(bool),referralBalance_,True
myCardDividends(),ownerAccounts,True
balanceOf(address),tokenBalanceLedger_,False
dividendsOf(address),"profitPerShare_, tokenBalanceLedger_, payoutsTo_, magnitude",False
sellPrice(),"tokenSupply_, tokenPriceInitial_, tokenPriceIncremental_, dividendFee_",False
buyPrice(),"tokenSupply_, tokenPriceInitial_, tokenPriceIncremental_, dividendFee_",False
calculateTokensReceived(uint256),dividendFee_,False
calculateEthereumReceived(uint256),"tokenSupply_, dividendFee_",False
getNextAvailableCard(),,False
"buyCard(uint,address)","cardPrice, cardBlockNumber, cardPreviousPrice, ownerDivRate, cardPreviousPrice, insuranceDivRate, totalCardDivs, totalCardDivs, cardInsuranceAccount, cardInsuranceAccount, distDivRate, allowReferral, referralRate, ownerAccounts, ownerAccounts, cardOwner, ownerAccounts, ownerAccounts, ownerAccounts, ownerAccounts, devDivRate, cardOwner, cardPreviousPrice, cardPrice, halfLifeTime",True
extCheckHalfLife(),boolAllowPlayer,True
getCardPrice(uint),cardPrice,False
getCardInsurance(uint),cardInsurance,False
getCardOwner(uint),cardOwner,False
gettotalCardDivs(uint),totalCardDivs,False
getTotalDivsProduced(),,False
