Function Name,State Variables Modified,Can Transfer Ether
owner(),_owner,False
isOwner(),_owner,True
renounceOwnership(),"_owner, _owner",False
transferOwnership(address),,True
constructor(),,False
viewNodes(uint256),"nodeList, nodeList, addressToNodeDetailsLog, nodeList, nodeList",False
viewNodeListCount(uint256),nodeList,False
viewLatestEpoch(),,False
"viewNodeDetails(uint256,address)","addressToNodeDetailsLog, addressToNodeDetailsLog, addressToNodeDetailsLog",False
"viewWhitelist(uint256,address)",,False
"updateWhitelist(uint256,address,bool)",,False
"listNode(uint256,string,uint256,uint256,string)","nodeList, addressToNodeDetailsLog, nodeList, nodeList",True
