Function Name,State Variables Modified,Can Transfer Ether
owned(),owner,True
transferOwnership(address),owner,False
"BeeGame(uint256,uint256,uint256,uint)","owner, numeroCeldas, name, symbol, decimals, numeroCeldas, numeroCeldas, numeroUsuarios, numeroUsuarios",True
buy(),"buyPrice, owner, owner, owner",True
incluirUsuario(address),"numeroUsuarios, numeroUsuarios",False
cobrarImpuesto(uint),"numeroUsuarios, owner",True
"crearCelda(uint,uint256,uint,uint,uint,)","owner, owner, owner, numeroCeldas, numeroCeldas, owner, owner, owner, owner",True
getCelda(uint),,False
getMensaje(uint),,False
"insertarMensaje(uint256,string,string)","numeroUsuarios, numeroMensajes, numeroMensajes",True
"aprobarMensaje(uint256,,string)",,False
getBalance(address),,False
getFechaTax(),,False
getNumeroCeldas(),numeroCeldas,False
getNumeroMensajes(),numeroMensajes,False
getOwner(),owner,False
getRevenue(uint),owner,True
sell(uint),"owner, sellPrice, owner, owner",True
setFechaTax(uint),,False
"setPrices(uint256,uint256)","sellPrice, buyPrice",False
"transfer(address,uint)",,True
