Function Name,State Variables Modified,Can Transfer Ether
"transfer(address,uint256)",,False
"approve(address,uint256)",,False
"transferFrom(address,address,uint256)",,False
constructor(),"tokenRegistered, tokenDecimals",False
setOwner(address),,False
getOwner(),,False
"setAdmin(address,bool)",admins,False
deposit(),,True
"depositToken(address,uint256)",tokenRegistered,True
"depositTokenByAdmin(address,address,uint256)",tokenRegistered,False
sendTips(),feeAddress,False
"transferTips(address,uint256,address,uint,uint8,bytes32,bytes32)","transfers, transfers, feeAddress",True
"transfer(address,uint256,address,address,uint,uint8,bytes32,bytes32)",transfers,True
"withdrawByAdmin(address,uint256,address,uint,uint8,bytes32,bytes32)","withdrawn, withdrawn",True
"withdraw(address,uint256)",tradesLocked,True
setTakerFeeRate(uint256),"feeRateLimit, takerFeeRate",False
setMakerFeeRate(uint256),"feeRateLimit, makerFeeRate",False
setFeeAddress(address),feeAddress,False
"disableFeesForUser(address,uint256)",disableFees,False
"registerToken(address,uint256)","tokenRegistered, tokenRegistered, tokenDecimals",False
tradesLock(address),tradesLocked,True
tradesUnlock(address),tradesLocked,True
"trade(,,,)","tradesLocked, orderFills, orderFills, orderFills, tradesLocked, orderFills, orderFills, orderFills, makerFeeRate, feeAddress, makerFeeRate, takerFeeRate, feeAddress, takerFeeRate",False
"exchangeAndPay(,,,)","tradesLocked, orderFills, orderFills, orderFills, tradesLocked, orderPaymentFills, orderPaymentFills, orderPaymentFills",False
"tradeWithTips(,,,)","tradesLocked, orderFills, orderFills, orderFills, tradesLocked, orderFills, orderFills, orderFills, feeAddress, makerFeeRate, feeAddress, makerFeeRate, makerFeeRate, feeAddress, makerFeeRate, feeAddress, takerFeeRate, feeAddress, takerFeeRate, takerFeeRate, feeAddress, takerFeeRate",False
function()publicpayable{revert();}(),,False
