Function Name,State Variables Modified,Can Transfer Ether
balanceOf(address),,False
ownerOf(uint256),,False
exists(uint256),,False
"approve(address,uint256)",,False
getApproved(uint256),,False
"setApprovalForAll(address,bool)",,False
"isApprovedForAll(address,address)",,False
"transferFrom(address,address,uint256)",,False
"safeTransferFrom(address,address,uint256)",,False
"safeTransferFrom(address,address,uint256,bytes)",,False
"onERC721Received(address,uint256,bytes)",,False
tokenURI(uint256),,False
Administration(),,True
setActive(bool),,False
setOpen(bool),,False
SetPresaleHandler(address),presaleHandler,False
setURIBase(string),,False
balanceOf(address),ownedTokensCount,False
ownerOf(uint256),tokenOwner,False
exists(uint256),tokenOwner,False
totalSupply(),,False
"approve(address,uint256)",tokenApprovals,True
getApproved(uint256),tokenApprovals,False
"setApprovalForAll(address,bool)",operatorApprovals,True
"isApprovedForAll(address,address)",operatorApprovals,False
"transferFrom(address,address,uint256)",,False
"safeTransferFrom(address,address,uint256)",,False
"safeTransferFrom(address,address,uint256,bytes)",,True
tokenURI(uint256),,False
tokensOfOwner(address),tokenOwner,False
GetTokenData(uint256),,False
"CreateToken(address,uint8,uint16)",presaleHandler,True
RigCraftPresalePackageManager(),"isActive, presaleTokenContract, presalePackSold, presalePackLimit, presalePackagePrice, presalePackLimit, presalePackagePrice, presalePackLimit, presalePackagePrice, presalePackLimit, presalePackagePrice, presalePackLimit, presalePackagePrice, presalePackLimit, presalePackagePrice",True
SetActive(bool),isActive,True
SetPresaleHandler(address),presaleTokenContract,True
"AddNewPresalePackage(uint16,uint256)","isActive, presalePackLimit, presalePackLimit, presalePackLimit, presalePackagePrice, presalePackagePrice, presalePackagePrice, presalePackSold",True
"BuyPresalePackage(uint8,address)","isActive, presalePackLimit, presalePackLimit, presalePackSold, presaleTokenContract, presalePackagePrice, presalePackSold, totalFundsSoFar, presaleTokenContract, presalePackSold",True
GetAllReferralAddresses(),,False
GetReferredCount(),,False
GetReferredAt(uint256),,False
GetReferralDataOfAddress(address),,False
withdraw(),,True
