Function Name,State Variables Modified,Can Transfer Ether
"setup(address,address)","easyMineToken, withdrawalAddress, startTime",False
withdraw(uint256),"easyMineToken, withdrawalAddress, totalWithdrawn",True
maxPossibleWithdrawal(),"startTime, VESTING_PERIOD, startTime, VESTING_PERIOD, DAILY_FUNDS_RELEASE, totalWithdrawn",False
EasyMineIco(address),"owner, wallet, stage",True
function()publicpayabletimedTransitions{if(stage==Stages.Started){buyTokens();}else{revert();}}(),stage,False
"setup(address,address,address,uint256,uint256)","priceThresholds, priceThresholds, priceThresholds, easyMineToken, sys, reservationAddress, minStartDelay, maxDuration, easyMineToken, stage",False
maxTokensSold(),"priceThresholds, priceThresholds",False
totalTokensSold(),"priceThresholds, priceThresholds",False
scheduleStart(uint256),"minStartDelay, startBlock, endBlock, startBlock, maxDuration, stage",False
updateStage(),stage,False
buyTokens(),"priceThresholds, priceThresholds, priceThresholds, priceThresholds, priceThresholds, priceThresholds, wallet, easyMineToken",True
reserveTokens(uint256),"priceThresholds, priceThresholds, priceThresholds, priceThresholds, easyMineToken, reservationAddress",True
cleanup(),owner,True
