Function Name,State Variables Modified,Can Transfer Ether
totalSupply(),,False
balanceOf(address),,False
"allowance(address,address)",,False
"transfer(address,uint)",,False
"approve(address,uint)",,False
"transferFrom(address,address,uint)",,False
"receiveApproval(address,uint256,address,bytes)",,False
Owned(),owner,True
transferOwnership(address),newOwner,False
acceptOwnership(),"newOwner, owner, newOwner, owner, newOwner, newOwner",True
SOLUSToken(),"symbol, name, decimals, bonusEnds, endDate",False
totalSupply(),_totalSupply,False
balanceOf(address),,False
"transfer(address,uint)",,True
"approve(address,uint)",,True
"transferFrom(address,address,uint)",,True
"allowance(address,address)",,False
"approveAndCall(address,uint,bytes)",,True
"function()publicpayable{require(now>=startDate&&now<=endDate);uinttokens;if(now<=bonusEnds){tokens=msg.value*5500;}else{tokens=msg.value*5000;}balances[msg.sender]=safeAdd(balances[msg.sender],tokens);_totalSupply=safeAdd(_totalSupply,tokens);Transfer(address(0),msg.sender,tokens);owner.transfer(msg.value);}()","startDate, endDate, bonusEnds, _totalSupply, _totalSupply, owner",True
"transferAnyERC20Token(address,uint)",owner,True
