Function Name,State Variables Modified,Can Transfer Ether
"receiveApproval(address,uint,address,bytes)",,False
constructor(),ceo,True
changeCEO(address),"ceo, ceo",False
lockup(address),locked,False
"constructor(string,string,uint8,uint)","name, symbol, decimals, totalSupply, balanceOf, totalSupply, name, symbol, decimals, totalSupply",True
"transfer(address,uint)",,True
"transferFrom(address,address,uint)","allowance, allowance, allowance",True
"approve(address,uint)",allowance,True
"allowance(address,address)",allowance,False
"approveAndCall(address,uint,bytes)",,True
constructor(),,False
"transferFrom(address,address,uint)",frozenAccount,True
freezeAccount(address),"frozenAccount, frozenAccount",False
unfreezeAccount(address),"frozenAccount, frozenAccount",False
function()payablepublic{revert();}(),,False
