Function Name,State Variables Modified,Can Transfer Ether
isEmpty(),,False
"contains(,uint)",,False
"getNext(,uint)",,False
"getPrev(,uint)",,False
getStart(),,False
getEnd(),,False
"insert(,uint,uint,uint)",,False
"remove(,uint)",,False
"getAttribute(,bytes32,string)",,False
"setAttribute(,bytes32,string,uint)",,False
totalSupply(),,False
balanceOf(address),,False
"allowance(address,address)",,False
"transfer(address,uint256)",,False
"approve(address,uint256)",,False
"transferFrom(address,address,uint256)",,False
constructor(address),"token, pollNonce, INITIAL_POLL_NONCE",False
requestVotingRights(uint),"token, voteTokenBalance, token",True
withdrawVotingRights(uint),"voteTokenBalance, voteTokenBalance, token",True
rescueTokens(uint),pollMap,True
rescueTokensInMultiplePolls(),,False
"commitVote(uint,bytes32,uint,uint)","voteTokenBalance, voteTokenBalance, voteTokenBalance, pollMap",True
"commitVotes(,,,)",,False
"validPosition(uint,uint,address,uint)",,False
"revealVote(uint,uint,uint)","pollMap, pollMap, pollMap, pollMap, pollMap, pollMap, pollMap",True
"revealVotes(,,)",,False
"getNumPassingTokens(address,uint,uint)",pollMap,False
"startPoll(uint,uint,uint)","pollNonce, pollNonce, pollMap, pollNonce, pollNonce, pollNonce",True
isPassed(uint),pollMap,False
getTotalNumberOfTokensForWinningOption(uint),"pollMap, pollMap",False
pollEnded(uint),pollMap,False
commitPeriodActive(uint),pollMap,False
revealPeriodActive(uint),pollMap,False
"didCommit(address,uint)",pollMap,False
"didReveal(address,uint)",pollMap,False
pollExists(uint),pollNonce,False
"getCommitHash(address,uint)",,False
"getNumTokens(address,uint)",,False
getLastNode(address),,False
getLockedTokens(address),,False
"getInsertPointForNumTokens(address,uint,uint)",,False
isExpired(uint),,False
"attrUUID(address,uint)",,False
"onRequestVotingRights(address,uint)",,False
"constructor(address,address)",telemetry,False
requestVotingRights(uint),"telemetry, voteTokenBalance",True
"getNumLosingTokens(address,uint,uint)",pollMap,False
getTotalNumberOfTokensForLosingOption(uint),"pollMap, pollMap",False
