Function Name,State Variables Modified,Can Transfer Ether
"receiveApproval(address,uint256,address,bytes)",,False
"constructor(uint256,string,uint8,string,string)","totalSupply, balanceOf, name, symbol, decimals, owner, totalSupply",True
"transferForExchange(address,uint256,string)","balanceOf, lockAmount",True
"transfer(address,uint256)","balanceOf, lockAmount",True
"transferFrom(address,address,uint256)","allowance, balanceOf, lockAmount, allowance",True
"transferFromForExchange(address,address,uint256,string)","allowance, balanceOf, lockAmount, allowance",True
"approve(address,uint256)","owner, allowance",True
"lock(address,uint256)","owner, balanceOf, lockAmount",True
"unlock(address,uint256)","owner, balanceOf, lockAmount",True
"approveAndCall(address,uint256,bytes)",,True
"burn(uint256,string)","owner, balanceOf, balanceOf, totalSupply",True
"mint(uint256,string)","owner, balanceOf, balanceOf, totalSupply",True
