Function Name,State Variables Modified,Can Transfer Ether
"transferableTokens(address,uint64)",,False
"grantVestedTokens(address,uint256,uint64,uint64,uint64,bool,bool)",grants,True
"revokeTokenGrant(address,uint256)","grants, grants, grants, grants, grants, grants",True
"transferableTokens(address,uint64)",grants,True
lastTokenIsTransferableDate(address),"grants, grants",False
burn(uint),"totalSupply, totalSupply",True
setAdmin(address),"admin, admin",False
isRegistered(address),registeredAddress,False
register(address),"registeredAddress, registeredAddress",False
registerByList(),"registeredAddress, registeredAddress",False
unregister(address),registeredAddress,False
unregisterByList(),registeredAddress,False
hasEnded(),endTime,False
maxReached(),"weiRaised, maxEtherCap",False
minReached(),"weiRaised, minEtherCap",False
