Function Name,State Variables Modified,Can Transfer Ether
transferAdminship(address),"admin, admin",False
addAllowedToTransfer(address),"allowedAddr, allowedAddr",False
setLock(uint),"lockThreshold, lockThreshold",False
balanceOf(address),,False
"transfer(address,uint256)",,True
"transferFrom(address,address,uint256)",,True
"approve(address,uint256)",,True
"allowance(address,address)",,False
"mintToken(address,uint256)","totalSupply, totalSupply",False
"burnToken(address,uint256)","totalSupply, totalSupply",False
"batch(,uint256)",,True
"Asset(string,string)","totalSupply, name, symbol",True
