Function Name,State Variables Modified,Can Transfer Ether
totalSupply(),,False
balanceOf(address),,False
"transfer(address,uint256)",,True
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",allowed,True
"allowance(address,address)",allowed,False
"increaseApproval(address,uint256)","allowed, allowed, allowed",True
"decreaseApproval(address,uint256)","allowed, allowed, allowed, allowed",True
constructor(),"totalSupplyLimit_, owner, owner, totalSupplyLimit_",True
"mint(address,uint256)",totalSupplyLimit_,False
verifyTransfer(uint256),,False
"burnTokens(address,uint256)",owner,False
"buyTokens(address,uint256)","owner, owner",True
"sellTokens(address,uint256)",owner,False
"transfer(address,uint256)",frozenAccount,True
"transferFrom(address,address,uint256)",frozenAccount,True
"approve(address,uint256)",,False
"increaseApproval(address,uint)",,False
"decreaseApproval(address,uint)",,False
emergencyExtract(),owner,True
"freezeAccount(address,bool)",frozenAccount,False
kill(),,True
