Function Name,State Variables Modified,Can Transfer Ether
Ownable(),owner,True
totalSupply(),,False
balanceOf(address),,False
"transfer(address,uint256)",,False
"allowance(address,address)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
reclaimToken(),owner,False
totalSupply(),,False
"transfer(address,uint256)",,True
balanceOf(address),,False
"transferFrom(address,address,uint256)","allowed, allowed, allowed",True
"approve(address,uint256)",allowed,True
"allowance(address,address)",allowed,False
"increaseApproval(address,uint)","allowed, allowed, allowed",True
"decreaseApproval(address,uint)","allowed, allowed, allowed, allowed",True
CappedBurnToken(uint256),cap,False
"mint(address,uint256)",cap,False
burn(uint256),"cap, cap",True
unmint(uint256),,True
"DetailedERC20(string,string,uint8)","name, symbol, decimals",False
PDP(),"saleWallet, salePriceWei, saleSharesAvail, saleSharesSold",False
"function()externalpayable{require(saleWallet!=address(0));uint256shareTarget=msg.value/salePriceWei;require(shareTarget>=saleMinShares);require(shareTarget<=saleSharesAvail);saleSharesAvail=saleSharesAvail.sub(shareTarget);saleSharesSold=saleSharesSold.add(shareTarget);Purchase(msg.sender,shareTarget);saleWallet.transfer(msg.value);}()","saleWallet, salePriceWei, saleMinShares, saleSharesAvail, saleSharesAvail, saleSharesAvail, saleSharesSold, saleSharesSold, saleWallet",True
"setSale(uint256,uint256,uint256,address)","saleWallet, salePriceWei, saleSharesAvail, saleMinShares, saleSharesSold, cap, saleMinShares, salePriceWei, saleSharesAvail, saleWallet",False
clearSaleSharesSold(uint256),"saleWallet, saleSharesSold, saleSharesSold",False
