Function Name,State Variables Modified,Can Transfer Ether
constructor(),owner,True
transferOwnership(address),"owner, owner",False
totalSupply(),,False
balanceOf(address),,False
"transfer(address,uint256)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
"allowance(address,address)",,False
totalSupply(),_totalSupply,False
balanceOf(address),,False
"transfer(address,uint256)",,True
"transferFrom(address,address,uint256)",,True
"approve(address,uint256)",,True
"allowance(address,address)",,False
"transferAndCall(address,uint,bytes)",,False
"tokenFallback(address,uint,bytes)",,False
"transferAndCall(address,uint,bytes)",,True
constructor(),split,False
splitShare(),"split, split, split, split, split",False
isSplitable(),"splits, split",True
claimShare(),"splits, split, splits, split, split, _totalSupply",True
"claimShare(address,address)","splits, split, splits, split, split, _totalSupply, splits, split, splits, split, split, _totalSupply",False
"transfer(address,uint256)","splits, splits",True
"transferFrom(address,address,uint256)","splits, splits",True
"transferAndCall(address,uint,bytes)","splits, splits",True
"unlock(address,uint)","lockAmounts, lockAmounts",False
"issueCoin(address,uint)","lockAmounts, lockAmounts",True
"transfer(address,uint256)",lockAmounts,True
"transferFrom(address,address,uint256)",lockAmounts,True
constructor(),"symbol, name, decimals, _totalSupply, decimals, owner, _totalSupply, owner, _totalSupply, purchaseNo",False
"function()publicpayable{require(!isContract(msg.sender));owner.transfer(msg.value);emitPurchase(purchaseNo++,msg.sender,msg.value,msg.data);}()","owner, purchaseNo",True
