Function Name,State Variables Modified,Can Transfer Ether
balanceOf(address),,False
"allowance(address,address)",,False
"transfer(address,uint256)",,True
"transferFrom(address,address,uint256)",,True
"approve(address,uint256)",,True
"transferToMany(,)",,False
releaseVested(),,False
"transferExternalToken(address,address,uint)",,False
Hut34ENTRP(),"TOTAL_TOKENS, OWNER, HUT34_RETAIN, HUT34_WALLET, name, symbol, owner, OWNER, totalSupply, TOTAL_TOKENS, HUT34_RETAIN, totalSupply, HUT34_RETAIN, totalSupply, HUT34_RETAIN, HUT34_VEST_ADDR, VESTED_TOKENS, nextReleaseDate, VESTING_PERIOD",False
releaseVested(),"nextReleaseDate, nextReleaseDate, nextReleaseDate, nextReleaseDate, VESTING_PERIOD, HUT34_VEST_ADDR, HUT34_RETAIN, VESTED_TOKENS",False
"transferToMany(,)",,True
changeOwner(address),newOwner,False
acceptOwnership(),"newOwner, owner, owner, newOwner, newOwner",True
"transferExternalToken(address,address,uint)",,True
