Function Name,State Variables Modified,Can Transfer Ether
owned(),owner,True
transferOwnership(address),owner,False
"receiveApproval(address,uint256,address,bytes)",,False
"TokenERC20(uint256,string,string)","totalSupply, decimals, balanceOf, totalSupply, name, symbol",True
"transfer(address,uint256)",,True
"transferFrom(address,address,uint256)","allowance, allowance",True
"approve(address,uint256)",allowance,True
"approveAndCall(address,uint256,bytes)",,True
burn(uint256),"balanceOf, balanceOf, totalSupply",True
"burnFrom(address,uint256)","balanceOf, allowance, balanceOf, allowance, totalSupply",True
MiningRigRentalsToken(),"canBuy, canMint, buyPrice",False
"mintToken(address,uint256)","canMint, balanceOf, totalSupply",False
disableMintForever(),canMint,False
"freezeAccount(address,bool)",frozenAccount,False
setPrices(uint256),buyPrice,False
setCanBuy(bool),canBuy,False
buy(),"canBuy, buyPrice, owner",True
function()publicpayable{buy();}(),,False
withdraw(uint256),owner,True
withdrawAll(),owner,True
