Function Name,State Variables Modified,Can Transfer Ether
"constructor(,uint)","isOwner, isOwner, owners, required",True
"function()publicpayable{if(msg.value>0)emitDeposit(msg.sender,msg.value);}()",,True
setToken(address),"token, token",False
"tgrSettingsChangeRequest(uint,uint,uint,uint,uint,uint,uint,uint)",,False
confirmSettingsChange(uint),token,True
setFinishedTx(),token,False
setLiveTx(),token,False
setFreezeTx(),token,False
"transferTx(address,uint)",token,True
setWhitelistTx(address),token,True
whitelistTx(address),token,True
addOwner(address),"isOwner, owners",False
removeOwner(address),"isOwner, owners, owners, owners, owners, owners, owners, required, owners, owners",False
"replaceOwner(address,address)","owners, owners, owners, isOwner, isOwner",False
changeRequirement(uint),required,False
"submitTransaction(address,uint,bytes)",,False
confirmTransaction(uint),confirmations,True
executeTransaction(uint),transactions,True
revokeConfirmation(uint),confirmations,True
isConfirmed(uint),"owners, confirmations, owners, required",False
isConfirmedSettingsRequest(uint),"owners, owners, required",False
viewSettingsChange(uint),,False
getConfirmationCount(uint),"owners, confirmations, owners",False
getSettingsChangeConfirmationCount(uint),"owners, owners",False
"getTransactionCount(bool,bool)","transactionCount, transactions, transactions",False
getOwners(),owners,False
getConfirmations(uint),"owners, owners, confirmations, owners, owners",False
"getTransactionIds(uint,uint,bool,bool)","transactionCount, transactionCount, transactions, transactions",False
