Function Name,State Variables Modified,Can Transfer Ether
totalSupply(),,False
balanceOf(address),,False
"transfer(address,uint256)",,False
"allowance(address,address)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
constructor(),"token, beneficiary, releaseTime, year",False
release(uint256),"token, withdrawalsInitiated, unlocked, withdrawalsInitiated, releaseTime, unlocked, unlocked, unlocked, unlocked, token, beneficiary",False
balanceOf(),token,False
currentTime(),,False
