Function Name,State Variables Modified,Can Transfer Ether
constructor(),owner,True
transferOwnership(address),owner,False
"constructor(uint256,string,string,address)","totalSupply, initialSupply, decimals, decimals, decimals, balanceOf, balanceOf, name, tokenName, symbol, tokenSymbol, icoContractAddress",False
"transfer(address,uint256)",,True
"transferFrom(address,address,uint256)","safeguard, allowance, allowance, allowance",True
"approve(address,uint256)","safeguard, allowance",True
burn(uint256),"safeguard, balanceOf, balanceOf, balanceOf, totalSupply, totalSupply",True
"burnFrom(address,uint256)","safeguard, balanceOf, allowance, balanceOf, balanceOf, allowance, allowance, totalSupply, totalSupply",True
constructor(address),,False
"freezeAccount(address,bool)",frozenAccount,False
"mintToken(address,uint256)","balanceOf, balanceOf, totalSupply, totalSupply",False
manualWithdrawEther(),owner,True
manualWithdrawTokens(uint256),owner,True
destructContract(),owner,False
changeSafeguardStatus(),"safeguard, safeguard, safeguard",False
"airdrop(,uint)",,True
