Function Name,State Variables Modified,Can Transfer Ether
Ownable(),owner,True
transferOwnership(address),owner,False
pause(),paused,False
unpause(),paused,False
pauseCrowdsale(),crowdsalePaused,False
unpauseCrowdsale(),crowdsalePaused,False
Nihilum(),"balanceOf, name, symbol, decimals, _tokenPrice, _minimumTokens, _allowManualTokensGeneration, wallet, owner, owner, totalShareholders, lastUnpaidIteration",True
"transfer(address,uint256)","balanceOf, balanceOf, balanceOf, owner, balanceOf, balanceOf, balanceOf, balanceOf, owner, owner, totalSupply, owner, owner, totalSupply, totalSupply, owner",True
addTokens(uint256),"_allowManualTokensGeneration, balanceOf",True
blacklist(address),"owner, balanceOf, totalNihilum",False
function()externalpayable{if(!crowdsalePaused){buyTokens();}else{PayNihilumToContract();}}(),crowdsalePaused,False
buyTokens(),"_tokenPrice, _tokenPrice, _tokenPrice, _minimumTokens, balanceOf, wallet, owner, totalSupply",True
payNihilum(),"totalShareholders, lastUnpaidIteration, totalShareholders, balanceOf, lastUnpaidIteration, totalNihilum, lastUnpaidIteration",True
nihilumBalanceOf(address),"totalNihilum, totalSupply, owner, totalSupply",False
claimNihilum(),totalNihilum,True
PayNihilumToContract(),"totalNihilum, totalNihilum",False
PayToContract(),,False
ChangeTokenPrice(uint256),_tokenPrice,False
