Function Name,State Variables Modified,Can Transfer Ether
balanceOf(address),,False
"transfer(address,uint256)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
"allowance(address,address)",,False
"receiveApproval(address,uint256,address,bytes)",,False
"tokenFallback(address,uint256,bytes)",,False
constructor(),"running, owner, decimals, totalSupply, decimals, owner, totalSupply, name, symbol, owner, totalSupply",True
"transfer(address,uint256)",,True
"transfer(address,uint256,bytes)",,True
"transfer(address,uint256,bytes,string)",,True
"transfer(,)",,True
balanceOf(address),,False
"transferFrom(address,address,uint256)",,True
"approve(address,uint256)",,True
"approve(address,uint256,uint256)",,True
"allowance(address,address)",,False
"approveAndCall(address,uint256,bytes)",,True
"approveAndCall(address,uint256,bytes,string)",,True
"transferAndCall(address,uint256,bytes)",,True
"transferAndCall(address,uint256,bytes,string)",,True
setName(string),name,False
setSymbol(string),symbol,False
setRunning(bool),running,False
transferOwnership(address),ownerTemp,False
acceptOwnership(),"ownerTemp, owner, ownerTemp, ownerTemp",True
"collectERC20(,uint)",owner,True
