Function Name,State Variables Modified,Can Transfer Ether
Ownable(),owner,True
transferOwnership(address),"owner, owner",False
pause(),paused,False
unpause(),paused,False
supportsInterface(bytes4),,False
ownerOf(uint256),,False
countOfDeeds(),,False
countOfDeedsByOwner(address),,False
"deedOfOwnerByIndex(address,uint256)",,False
"approve(address,uint256)",,False
takeOwnership(uint256),,False
"transfer(address,uint256)",,False
"ClockAuctionBase(address,uint256)","deedContract, deedContract, fee",False
"ClockAuction(address,uint256)",,False
setFee(uint256),fee,False
getAuction(uint256),,False
"createAuction(uint256,uint256,uint256,uint256)","deedContract, deedContract",True
cancelAuction(uint256),,True
bid(uint256),,True
getCurrentPrice(uint256),,False
withdrawAuctionBalance(address),"deedContract, addressToEtherOwed, addressToEtherOwed, outstandingEther",True
withdrawFreeBalance(),"outstandingEther, deedContract, owner",True
"SaleAuction(address,uint256)",,False
