Function Name,State Variables Modified,Can Transfer Ether
Ownable(),owner,True
transferOwnership(address),"owner, owner",False
pause(),paused,False
unpause(),paused,False
balanceOf(address),,False
"transfer(address,uint256)",,False
"transferFrom(address,address,uint256)",,False
"allowance(address,address)",,False
"approve(address,uint256)",,False
"StandardToken(string,string,uint8)","name, symbol, decimals",False
balanceOf(address),,False
"transfer(address,uint256)",,True
"multiTransfer(,)",,True
"transferFrom(address,address,uint256)","allowed, allowed, allowed",True
"allowance(address,address)",allowed,False
"approve(address,uint256)",allowed,True
"increaseApproval(address,uint)","allowed, allowed, allowed",True
"decreaseApproval(address,uint)","allowed, allowed, allowed, allowed",True
"mint(address,uint256)","totalSupply, totalSupply",False
finishMinting(),mintingFinished,False
CappedToken(uint256),cap,False
"mint(address,uint256)","totalSupply, cap",False
burn(uint256),"totalSupply, totalSupply",True
repayment(),repayments,False
reward(),,True
"transfer(address,uint256)",,True
"multiTransfer(,)",,True
"transferFrom(address,address,uint256)",,True
Token(),,False
Crowdsale(),"token, beneficiary, oSb, token, beneficiary, oSb, bountyP, BountyCRYPT, token, bountyP, BountyCRYPT",False
function()payablepublic{purchase();}(),,False
"setTokenRate(uint,string)","crowdsaleClosed, priceTokenWei, TokenPriceETH",False
purchase(),"crowdsaleClosed, tokensSold, tokensForSale, priceTokenWei, tokensSold, tokensForSale, tokensSold, tokensForSale, priceTokenWei, tokensSold, tokensSold, collectedWei, collectedWei, purchaseBalances, purchaseBalances, token, tokensSold, PRTC, tokensForSale, tokensSold, IcoStatus, IcoStatus",True
refund(),"crowdsaleRefund, purchaseBalances, purchaseBalances, purchaseBalances, refundedWei, refundedWei",True
closeCrowdsale(),"crowdsaleClosed, beneficiary, token, beneficiary, token, token, token, beneficiary, crowdsaleClosed",True
refundCrowdsale(),"crowdsaleClosed, crowdsaleRefund, crowdsaleClosed",False
