Function Name,State Variables Modified,Can Transfer Ether
"NetkillerToken(uint256,string,string,uint)","owner, name, symbol, decimals, totalSupply, decimals, balanceOf, totalSupply",True
setLock(bool),,False
transferOwnership(address),owner,False
"transfer(address,uint256)",,True
"transferFrom(address,address,uint256)","allowance, allowance",True
"approve(address,uint256)",allowance,True
burn(uint256),"balanceOf, balanceOf, totalSupply",True
"burnFrom(address,uint256)","balanceOf, allowance, balanceOf, allowance, totalSupply",True
"mintToken(address,uint256)","decimals, balanceOf, totalSupply",False
"freezeAccount(address,bool)",frozenAccount,False
