Function Name,State Variables Modified,Can Transfer Ether
function()externalpayable{buy();}(),,False
buy(),"jpTimer, ethJackpot, ethJackpot, ethBank, leader, ethBank, leader, jpRound, buyInFee, balanceOf, balanceOf, totalSupply, totalSupply, ethJackpot, ethJackpot, coinMC, coinMC, jpTimer, leader, tokenPrice, coinMC, totalSupply",True
reinvest(),"ethBank, ethBank, jpTimer, ethJackpot, ethJackpot, ethBank, leader, ethBank, leader, buyInFee, balanceOf, balanceOf, totalSupply, totalSupply, ethJackpot, ethJackpot, coinMC, coinMC, tokenPrice, coinMC, totalSupply, jpTimer, leader",True
sell(uint256),"balanceOf, tokenPrice, buyInFee, totalSupply, totalSupply, balanceOf, balanceOf, ethJackpot, ethJackpot, ethBank, leader, ethBank, leader, coinMC, coinMC, totalSupply, tokenPrice, coinMC, totalSupply, tokenPrice, coinMC, ethBank, ethBank",True
sellAll(),balanceOf,True
withdraw(),"ethBank, ethBank",True
panic(),,False
"transfer(address,uint256)","balanceOf, balanceOf, balanceOf, balanceOf, balanceOf",True
totalEthereumBalance(),,False
myEthBank(),ethBank,True
myTokens(),balanceOf,True
sellingPrice(),"tokenPrice, sellOutFee, tokenPrice",False
buyingPrice(),"tokenPrice, buyInFee, tokenPrice",False
