Function Name,State Variables Modified,Can Transfer Ether
owner(),_owner,False
isOwner(),_owner,True
renounceOwnership(),"_owner, _owner",False
transferOwnership(address),,True
constructor(),,False
totalSupply(),,False
balanceOf(address),_owner,False
"balanceOfAt(address,uint256)","_owner, _owner, _owner",False
totalSupplyAt(uint256),,False
"mint(address,uint256)",,False
"burn(address,uint256)",,False
"transfer(address,uint256)",,False
"approve(address,uint256)",,False
"transferFrom(address,address,uint256)",,False
totalSupply(),,False
balanceOf(address),,False
"allowance(address,address)",,False
totalSupply(),_totalSupply,False
balanceOf(address),_balances,False
"allowance(address,address)",_allowed,False
"transfer(address,uint256)",,True
"approve(address,uint256)",,True
"transferFrom(address,address,uint256)",_allowed,True
"increaseAllowance(address,uint256)",_allowed,True
"decreaseAllowance(address,uint256)",_allowed,True
burn(uint256),,True
"burnFrom(address,uint256)",,False
"constructor(string,string,uint256)","name, symbol, cap",False
"mint(address,uint256)","cap, cap",False
"constructor(string,,)","orgName, nativeToken, nativeReputation",False
"function()externalpayable{emitReceiveEther(msg.sender,msg.value);}()",,True
"genericCall(address,bytes,uint256)",,True
"sendEther(uint256,address)",,True
"externalTokenTransfer(,address,uint256)",,False
"externalTokenTransferFrom(,address,address,uint256)",,False
"externalTokenApproval(,address,uint256)",,False
metaData(string),,False
"pre(address,bytes32,bytes32)",,False
"post(address,bytes32,bytes32)",,False
when(),,False
"mintReputation(uint256,address,address)",,False
"burnReputation(uint256,address,address)",,False
"mintTokens(uint256,address,address)",,False
"registerScheme(address,bytes32,bytes4,address)",,False
"unregisterScheme(address,address)",,False
unregisterSelf(address),,False
"addGlobalConstraint(address,bytes32,address)",,False
"removeGlobalConstraint(address,address)",,False
"upgradeController(address,)",,False
"genericCall(address,bytes,,uint256)",,False
"sendEther(uint256,address,)",,False
"externalTokenTransfer(,address,uint256,)",,False
"externalTokenTransferFrom(,address,address,uint256,)",,False
"externalTokenApproval(,address,uint256,)",,False
"metaData(string,)",,False
getNativeReputation(address),,False
"isSchemeRegistered(address,address)",,False
"getSchemeParameters(address,address)",,False
"getGlobalConstraintParameters(address,address)",,False
"getSchemePermissions(address,address)",,False
globalConstraintsCount(address),,False
"isGlobalConstraintRegistered(address,address)",,False
"setParameters(,uint256,address)","parameters, parameters, parameters, parameters",False
"getParametersHash(,uint256,address)",,False
"addOrPromoteAddress(,address,uint256)","parameters, organizationsRegistry, organizationsRegistry, organizationsRegistry, organizationsRegistry",True
