Function Name,State Variables Modified,Can Transfer Ether
constructor(),staffContract,True
"constructor(,)",,False
getState(),staffContract,False
fitsTokensForSaleCap(uint256),,False
getTokensForSaleCap(),,False
getDistributedTokens(),,False
setTokenContract(),,False
getInvestorClaimedTokens(address),,False
isBlockpassInvestor(address),"investors, investors",False
"whitelistInvestor(address,bool)","investors, investors, investors",True
bulkWhitelistInvestor(),"investors, investors",True
blockInvestor(address),"investors, investors",True
lockPurchasedTokensClaim(uint256),,True
unlockPurchasedTokensClaim(),,True
lockBonusTokensClaim(uint256),,True
unlockBonusTokensClaim(),,True
setCrowdsaleStartDate(uint256),,True
setEndDate(uint256),,True
setMinPurchaseInWei(uint256),,True
setMaxInvestorContributionInWei(uint256),,True
changeTokenRate(uint256),,True
"buyTokens(bytes32,address)","investors, investors, investors, investors, investors, investors, investors, investors, investors, investors, investors, investors",True
"sendTokens(address,uint256)","investors, investors, investors",True
burnUnsoldTokens(),,True
claimTokens(),"investors, investors, investors, investors, investors, investors, investors, investors, investors, investors, investors",True
"refundTokensPurchase(address,uint)",investors,True
refundAllInvestorTokensPurchases(address),"investors, investors, investors",True
getInvestorTokensPurchasesLength(address),investors,False
"getInvestorTokensPurchase(address,uint)","investors, investors, investors, investors, investors",False
pause(),,True
resume(),,True
finalize(),,True
constructor(),,False
calculateBonusAmount(uint256),"discountPhases, discountPhases, discountPhases, discountPhases",False
"addDiscountPhase(string,uint8,uint,uint)","discountPhases, discountPhases, discountPhases, discountPhases",True
removeDiscountPhase(uint),"discountPhases, discountPhases",True
constructor(),,False
setCrowdsale(),"crowdsale, staffContract, crowdsale",False
"getBonus(address,uint256,uint256)","discountStructs, discountStructs, discountStructs, discountStructs, discountStructs, discountSteps, discountSteps, discountSteps, discountSteps, discountSteps, discountStructs, discountStructs, discountStructs, discountStructs",False
"calculateBonus(uint256,uint256)","discountStructs, discountStructs, discountStructs, discountStructs, discountStructs, discountSteps, discountSteps, discountSteps, discountSteps, discountSteps, discountStructs, discountStructs",False
"addDiscountStruct(bytes32,uint256,,,,)","discountStructs, discountStructs, discountStructs, discountStructs, discountSteps",True
removeDiscountStruct(uint),"discountStructs, discountStructs, discountSteps",True
constructor(),,False
setCrowdsale(),"crowdsale, staffContract, crowdsale",False
"applyBonusAmount(address,uint256,bytes32)","promoCodes, promoCodes, promoCodes, promoCodes, promoCodes, promoCodes, promoCodes, promoCodes",False
"calculateBonusAmount(address,uint256,bytes32)","promoCodes, promoCodes, promoCodes, promoCodes, promoCodes",False
"addPromoCode(string,bytes32,uint256,uint8)","promoCodes, promoCodes, promoCodes",True
removePromoCode(bytes32),promoCodes,True
constructor(),owner,True
renounceOwnership(),"owner, owner",False
transferOwnership(address),,True
"checkRole(address,string)",roles,False
"hasRole(address,string)",roles,False
addStaff(address),ROLE_STAFF,False
removeStaff(address),ROLE_STAFF,False
isStaff(address),ROLE_STAFF,False
totalSupply(),,False
balanceOf(address),,False
"transfer(address,uint256)",,False
totalSupply(),,False
"transfer(address,uint256)",,True
balanceOf(address),,False
burn(uint256),,True
