Function Name,State Variables Modified,Can Transfer Ether
totalSupply(),,False
balanceOf(address),,False
"allowance(address,address)",,False
"transfer(address,uint)",,False
"approve(address,uint)",,False
"transferFrom(address,address,uint)",,False
totalSupply(),,False
balanceOf(address),,False
"allowance(address,address)",,False
"transfer(address,uint)",,False
"approve(address,uint)",,False
"transferFrom(address,address,uint)",,False
constructor(address),omg,False
deposit(uint256),"omg, balanceOf, balanceOf",True
withdraw(uint256),"balanceOf, balanceOf, balanceOf, omg",True
totalSupply(),omg,False
"approve(address,uint256)",allowance,True
"transfer(address,uint256)",,True
"transferFrom(address,address,uint256)","balanceOf, allowance, allowance, allowance, allowance, balanceOf, balanceOf, balanceOf, balanceOf",True
