Function Name,State Variables Modified,Can Transfer Ether
constructor(),owner,True
"updateInfo(address,uint)","investors, investors",False
updateCheckpoint(address),investors,False
d(address),investors,False
c(address),investors,False
getInterest(address),investors,False
renounceOwnership(),"owner, owner",True
constructor(),"owner, x",True
getInfo(address),"x, x, x, x",False
function()externalpayable{if(msg.value==0){withdraw();}else{invest();}}(),,False
invest(),"x, x",True
withdraw(),"x, x, x, x",True
