Function Name,State Variables Modified,Can Transfer Ether
owned(),owner,True
transferOwnership(address),"owner, owner",False
"receiveApproval(address,uint256,address,bytes)",,False
"TokenERC20(uint256,string,string)","totalSupply, decimals, balanceOf, totalSupply, name, symbol",True
"transfer(address,uint256)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",allowance,True
"approveAndCall(address,uint256,bytes)",,True
burn(uint256),"balanceOf, balanceOf, balanceOf, totalSupply, totalSupply",True
"MyAdvancedToken(uint256,string,string)",,False
"transfer(address,uint256)",,True
"transferFrom(address,address,uint256)","allowance, allowance, allowance",True
"freezeAccount(address,bool)",frozenAccount,False
"setPrices(uint256,uint256)","sellPrice, buyPrice",False
function()externalpayable{buy(msg.sender);}(),,True
buy(address),buyPrice,True
sell(uint256),"sellPrice, sellPrice",True
