Function Name,State Variables Modified,Can Transfer Ether
transferOwnership(address),"owner, newOwner",False
acceptOwnership(),"newOwner, owner, newOwner, owner, newOwner, newOwner",True
tokenGenerationEvent(address),"openSaleCompleted, allSaleCompleted, end_block, totalTokens, decimals, totalTokens, decimals, totalTokens, decimals, totalTokens, decimals, totalTokens, decimals, totalTokens, decimals, start_block, presale_start_block, start_block, totalTokens, tokenGenerationMax, totalTokens",False
refund(),"allSaleCompleted, totalTokens, tokenGenerationMin, end_block, totalTokens, totalTokens",True
finalize(),"openSaleCompleted, allSaleCompleted, percentageETHReserve, totalTokens, totalTokens, reserveBalance, reserveBalance, wolkSale, wolkSale, wolkSale, wolkSale, allSaleCompleted",False
calculateWolkToBurn(uint256),,False
calculateProviderFee(uint256),,False
"calculatePurchaseReturn(uint256,uint256,uint8,uint256)",,False
"calculateSaleReturn(uint256,uint256,uint8,uint256)",,False
estLiquidationCap(),"openSaleCompleted, totalTokens, maxPerExchangeBP, decimals, decimals",False
