Function Name,State Variables Modified,Can Transfer Ether
"query(uint,string,string)",,False
"query_withGasLimit(uint,string,string,uint)",,False
"query2(uint,string,string,string)",,False
"query2_withGasLimit(uint,string,string,string,uint)",,False
"queryN(uint,string,bytes)",,False
"queryN_withGasLimit(uint,string,bytes,uint)",,False
getPrice(string),,False
"getPrice(string,uint)",,False
setProofType(byte),,False
setCustomGasPrice(uint),,False
randomDS_getSessionPubKeyHash(),,False
getAddress(),,False
"__callback(bytes32,string)",,True
"__callback(bytes32,string,bytes)",,False
owned(),owner,True
transferOwnership(address),owner,False
isOwner(),owner,True
"SisterToken(uint256,string,string)","totalSupply, decimals, balanceOf, owner, totalSupply, balanceOf, totalSupply, balanceOf, totalSupply, name, symbol",False
getbuyPrice(),buyPrice,False
getMultiplier(),,False
trustContract(address),isTrusted,False
untrustContract(address),isTrusted,False
setPrice(uint256),buyPrice,False
changeBank(address),,False
_buy(address),"owner, isTrusted, isTrusted, buyPrice",True
registerExternal(),,True
"contractBurn(address,uint256)",,False
"transfer(address,uint256)",,True
burn(uint256),,True
register(),,True
testConnection(),name,False
"NP(uint256,string,string)",,False
setXQU(string),XBSQueryURL,False
sendTest(),,False
"link(address,string)","balanceOf, accountID, balanceOf",True
"__callback(bytes32,string)","message, message, accountFromID",True
check(),"message, message",True
