Function Name,State Variables Modified,Can Transfer Ether
constructor(),owner,True
transferOwnership(address),"owner, owner",False
pause(),paused,False
unpause(),paused,False
totalSupply(),,False
balanceOf(address),,False
"transfer(address,uint256)",,False
"allowance(address,address)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
"constructor(uint,uint,address)","buyCost, sellValue, erc20Contract",False
tokenName(),erc20Contract,False
tokenSymbol(),erc20Contract,False
amountForSale(),erc20Contract,False
getBuyCost(uint),"buyCost, buyCost",False
getSellValue(uint),sellValue,False
buy(uint),,True
"sell(uint,uint)",,True
lacksFunds(),sellValue,False
amountAvailableToCashout(),sellValue,False
cashout(),"sellValue, owner",True
close(),"erc20Contract, owner, erc20Contract, owner",True
extraBalanceNeeded(uint),,False
"adjustPrices(uint,uint)","buyCost, buyCost, sellValue, sellValue, sellValue, buyCost, sellValue",False
"transferAnyERC20Token(address,uint)","erc20Contract, owner",False
constructor(),,False
