Function Name,State Variables Modified,Can Transfer Ether
setInitialApplicationAddress(address),,False
setInitialOwnerAndName(bytes32),,False
getRecordState(bytes32),,False
getEntityState(bytes32),,False
applyAndLockSettings(),,False
transferToNewOwner(address),,False
getApplicationAssetAddressByName(bytes32),,False
getApplicationState(),,False
getApplicationEntityState(bytes32),,False
getAppBylawUint256(bytes32),,False
getAppBylawBytes32(bytes32),,False
getTimestamp(),,False
"addFundingStage(bytes32,uint256,uint256,uint256,uint256,uint8,uint256,uint256,uint8,uint8)",,False
"addSettings(address,uint256,uint256,uint8,address,address)",,False
getStageAmount(uint8),,False
allowedPaymentMethod(uint8),,False
"receivePayment(address,uint8)",,False
canAcceptPayment(uint256),,False
getValueOverCurrentCap(uint256),,False
isFundingStageUpdateAllowed(uint8),,False
getRecordStateRequiredChanges(),,False
doStateChanges(),,False
hasRequiredStateChanges(),,False
getRequiredStateChanges(),,False
"initialize(address,address,address,address,address)",,False
"addPayment(uint8,uint8)",,False
getBoughtTokens(),,False
getDirectBoughtTokens(),,False
ReleaseFundsAndTokens(),,False
releaseTokensAndEtherForEmergencyFund(),,False
ReleaseFundsToInvestor(),,False
canCashBack(),,False
checkFundingStateFailed(),,False
checkMilestoneStateInvestorVotedNoVotingEndedNo(),,False
checkOwnerFailedToSetTimeOnMeeting(),,False
TokenSCADAVariable(),deployerAddress,True
addSettings(address),"initialized, initialized",False
requiresHardCap(),SCADA_requires_hard_cap,False
getTokensForValueInCurrentStage(uint256),,False
"getTokensForValueInStage(uint8,uint256)",,False
"getBoughtTokens(address,bool)",,False
