Function Name,State Variables Modified,Can Transfer Ether
totalSupply(),,False
balanceOf(address),,False
"allowance(address,address)",,False
"transfer(address,uint256)",,False
"approve(address,uint256)",,False
"transferFrom(address,address,uint256)",,False
totalSupply(),_totalSupply,False
balanceOf(address),_balances,False
"allowance(address,address)",_allowed,False
"transfer(address,uint256)",,True
"approve(address,uint256)",_allowed,True
"transferFrom(address,address,uint256)","_allowed, _allowed, _allowed",True
"increaseAllowance(address,uint256)","_allowed, _allowed, _allowed",True
"decreaseAllowance(address,uint256)","_allowed, _allowed, _allowed",True
constructor(),"AmountBurned, cVToken, previousBurnBalance",False
burn(),"cVToken, cVToken, burnAddress, cVToken, burnAddress, previousBurnBalance, AmountBurned, previousBurnBalance, AmountBurned",False
getToken(),cVToken,False
getAmountBurned(),"cVToken, burnAddress",False
getAddress(),,False
getBurnAddress(),burnAddress,False
getAdjustedTotalSupply(),cVToken,False
