Function Name,State Variables Modified,Can Transfer Ether
"mintToken(address,uint)","lockedBalances, lockedBalances, totalSupply, totalSupply",False
claimTokens(address),"lockedBalances, lockedBalances",False
function()publicpayablenotHaltedceilingNotReached{buyWanCoin(msg.sender);}(),,True
setNormalBuyLimit(uint256),normalBuyLimit,False
"setPartnerQuota(address,uint256)","MAX_OPEN_SOLD, partnersLimit, partnerReservedSum",False
buyWanCoin(address),"partnersLimit, normalBuyLimit",False
halt(),halted,False
unHalt(),halted,False
priceRate(),"startTime, startTime, PRICE_RATE_FIRST, startTime, startTime, PRICE_RATE_SECOND, startTime, endTime, PRICE_RATE_LAST",False
claimTokens(address),wanToken,False
