Function Name,State Variables Modified,Can Transfer Ether
supportsInterface(bytes4),,False
balanceOf(address),,False
ownerOf(uint256),,False
exists(uint256),,False
"approve(address,uint256)",,False
getApproved(uint256),,False
"setApprovalForAll(address,bool)",,False
"isApprovedForAll(address,address)",,False
"transferFrom(address,address,uint256)",,False
"safeTransferFrom(address,address,uint256)",,False
"safeTransferFrom(address,address,uint256,bytes)",,False
totalSupply(),,False
"tokenOfOwnerByIndex(address,uint256)",,False
tokenByIndex(uint256),,False
name(),,False
symbol(),,False
tokenURI(uint256),,False
"onERC721Received(address,address,uint256,bytes)",,False
constructor(),InterfaceId_ERC165,False
supportsInterface(bytes4),supportedInterfaces,False
constructor(),"InterfaceId_ERC721, InterfaceId_ERC721Exists",False
balanceOf(address),ownedTokensCount,False
ownerOf(uint256),"tokenOwner, owner, owner",False
exists(uint256),"tokenOwner, owner",False
"approve(address,uint256)","owner, owner, owner, tokenApprovals, owner",True
getApproved(uint256),tokenApprovals,False
"setApprovalForAll(address,bool)",operatorApprovals,True
"isApprovedForAll(address,address)",operatorApprovals,False
"transferFrom(address,address,uint256)",,True
"safeTransferFrom(address,address,uint256)",,False
"safeTransferFrom(address,address,uint256,bytes)",,True
"constructor(string,string)","name_, symbol_, InterfaceId_ERC721Enumerable, InterfaceId_ERC721Metadata",False
name(),name_,False
symbol(),symbol_,False
tokenURI(uint256),tokenURIs,False
"tokenOfOwnerByIndex(address,uint256)",ownedTokens,False
totalSupply(),allTokens,False
tokenByIndex(uint256),allTokens,False
constructor(),owner,True
renounceOwnership(),"owner, owner",False
transferOwnership(address),,True
"constructor(uint256,address)","taxPercentage, taxCollector, ethFoundation, ethFoundationPercentage, taxCollectorPercentage",False
updateCollector(address),taxCollector,False
"updateTaxPercentages(uint256,uint256)","ethFoundationPercentage, taxCollectorPercentage",False
addFunds(),"userBalanceAtLastPaid, userBalanceAtLastPaid",True
withdraw(uint256),"userBalanceAtLastPaid, userBalanceAtLastPaid",True
userHasPositveBalance(address),userBalanceAtLastPaid,False
userBalance(address),userBalanceAtLastPaid,False
"transferTaxes(address,bool)","userBalanceAtLastPaid, lastPaidTaxes, userBalanceAtLastPaid, userBalanceAtLastPaid",False
payoutEF(),"currentFoundationContribution, currentFoundationContribution, currentFoundationContribution, ethFoundation",True
"constructor(uint256,uint256,uint256,address)","xMax, yMax",False
"transferFrom(address,address,uint256,uint256,uint256,uint256)",pixelByCoordinate,True
"buyUninitializedPixelBlock(uint256,uint256,uint256,bytes32)",,False
"buyUninitializedPixelBlocks(,,,)",,False
"buyPixelBlock(uint256,uint256,uint256,bytes32)",,False
"buyPixelBlocks(,,,)",,False
"setPixelBlockPrice(uint256,uint256,uint256)",,False
"setPixelBlockPrices(,,)",,False
"beginDutchAuction(uint256,uint256)",pixelByCoordinate,True
"bidInAuction(uint256,uint256,uint256)","pixelByCoordinate, auctionById",True
"endDutchAuction(uint256,uint256)","pixelByCoordinate, auctionById",False
"changeContentData(uint256,uint256,bytes32)",pixelByCoordinate,True
"encodeTokenId(uint256,uint256)",,False
