Function Name,State Variables Modified,Can Transfer Ether
"init_register_contract(bytes32,address)",,False
unregister_contract(bytes32),,False
get_contract(bytes32),,False
destroy(),"resolver, resolver, resolver, key",True
get_contract(bytes32),resolver,False
is_contract(address),,False
"purchase_with_eth(uint256,address,uint256,uint256,uint256,address,bytes)",,False
"purchase_with_dai(uint256,address,uint256,uint256,uint256,address,bytes)",,False
MarketplaceV2(address),,False
"purchaseWithEth(uint256,uint256,uint256,address,bytes)",,True
"purchaseWithDai(uint256,uint256,uint256,uint256,address,bytes)",,True
