Function Name,State Variables Modified,Can Transfer Ether
balanceOf(address),,False
"transfer(address,uint256)",,False
"allowance(address,address)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
balanceOf(address),,False
"allowance(address,address)",,False
"transfer(address,uint256)",,True
"transferFrom(address,address,uint256)",,True
"approve(address,uint256)",,True
"increaseApproval(address,uint)",,True
"decreaseApproval(address,uint)",,True
DOWToken(address),"founderMultiSigAddress, founderMultiSigAddress, totalSupply, founderMultiSigAddress, totalSupply",False
changeFounderMultiSigAddress(address),"founderMultiSigAddress, founderMultiSigAddress, founderMultiSigAddress",True
