Function Name,State Variables Modified,Can Transfer Ether
totalSupply(),,False
balanceOf(address),,False
"transfer(address,uint256)",,False
constructor(),owner,True
transferOwnership(address),"owner, owner",False
renounceOwnership(),"owner, owner",False
totalSupply(),,False
"transfer(address,uint256)",,True
balanceOf(address),,False
"allowance(address,address)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
"transferFrom(address,address,uint256)","allowed, allowed, allowed",True
"approve(address,uint256)",allowed,True
"allowance(address,address)",allowed,False
"increaseApproval(address,uint256)","allowed, allowed, allowed",True
"decreaseApproval(address,uint256)","allowed, allowed, allowed, allowed",True
burn(uint256),,True
"burnFrom(address,uint256)","allowed, allowed, allowed",True
pause(),paused,False
unpause(),paused,False
"transfer(address,uint256)",,True
"transferFrom(address,address,uint256)",,True
"approve(address,uint256)",,False
"increaseApproval(address,uint)",,False
"decreaseApproval(address,uint)",,False
constructor(),"INITIAL_SUPPLY, INITIAL_SUPPLY, INITIAL_SUPPLY",True
"transfer(address,uint256)",,True
burn(uint256),,True
"transferToLockedBalance(address,uint,uint256,uint,uint256,uint,uint256)","lockedUserEntity, lockedUserEntity, lockedUserEntity, lockedUserEntity, lockedUserEntity, lockedUserEntity, lockedUserEntity",True
"setLockTime(address,uint,uint256)","lockedUserEntity, lockedUserEntity, lockedUserEntity",False
getLockedUserInfo(address),"owner, supervisorEntity, lockedUserEntity, lockedUserEntity, lockedUserEntity, lockedUserEntity, lockedUserEntity, lockedUserEntity",True
setSupervisor(address),"supervisorEntity, supervisorEntity",False
removeSupervisor(address),"supervisorEntity, supervisorEntity",False
setLockedWalletEntity(address),"lockedWalletEntity, lockedWalletEntity",False
removeLockedWalletEntity(address),"lockedWalletEntity, lockedWalletEntity",False
