Function Name,State Variables Modified,Can Transfer Ether
addAdmin(address),isAdmin,False
removeAdmin(address),isAdmin,False
transferOwner(address),,False
setdelegateAddr(address),delegateAddr,False
constructor(),"isAdmin, currentPeriod, bonusCodeNonce, teamBonus, currentPeriod",True
deposit(address),"delegateAddr, allowance",True
"bet(address,address,uint256,uint8)","delegateAddr, allowance, currentPeriod, currentPeriod, currentPeriod, currentPeriod, teamBonus, teamBonus, currentPeriod, currentPeriod, currentPeriod, currentPeriod, bonusCodeNonce, currentPeriod, revealBonusCodes, currentPeriod, bonusCodeNonce, currentPeriod, bonusCodeNonce, currentPeriod, bonusCodeNonce, bonusCodeNonce, bonusCodeNonce",True
reveal(string),"bonusCodeNonce, currentPeriod, currentPeriod, currentPeriod, revealBonusCodes, currentPeriod, currentPeriod, currentPeriod, revealBonusCodes, currentPeriod, currentPeriod, revealBonusCodes, currentPeriod, currentPeriod, currentPeriod, currentPeriod, revealResultPerPeriod, currentPeriod, currentPeriod, bonusCodeNonce, currentPeriod, currentPeriod",True
"withdrawal(address,address,uint256)","allowance, delegateAddr, teamBonus, teamBonus",True
teamWithdrawal(),"teamBonus, teamBonus, teamBonus",True
gameBonusWithdrawal(uint16),,True
updateContract(),,True
getBalance(address),,False
getBonusPool(),,False
getBonusInvited(address),currentPeriod,False
getRevealResultPerPeriod(uint16),"revealResultPerPeriod, revealResultPerPeriod, revealResultPerPeriod, revealResultPerPeriod, revealResultPerPeriod",False
