Function Name,State Variables Modified,Can Transfer Ether
constructor(),manager,True
"enter(string,address)",idxRadd,True
joinboard(string),"idxRadd, idxRadd",True
"pickFood(uint,string,string,uint,uint)",,False
"pickWinner(uint,bool,bool,bool,bool,bool,bool)",,True
getPotCnt(string),,False
"getIdx(string,string,uint)",,False
getLast(string),,False
getLastPlayer(string),,False
"sendFood(address,uint)",,True
"sendFoods(,)",,True
sendItDv(string),,True
sendDv(string),,False
getReffAdd(string),,False
getReffName(address),"idxRadd, idxRadd",False
