Function Name,State Variables Modified,Can Transfer Ether
name(),,False
symbol(),,False
deedName(uint256),,False
deedUri(uint256),,False
Ownable(),owner,True
transferOwnership(address),"owner, owner",False
pause(),paused,False
unpause(),paused,False
supportsInterface(bytes4),,False
ownerOf(uint256),,False
countOfDeeds(),,False
countOfDeedsByOwner(address),,False
"deedOfOwnerByIndex(address,uint256)",,False
"approve(address,uint256)",,False
takeOwnership(uint256),,False
ownerOf(uint256),"deedOwner, deedOwner",False
countOfDeeds(),totalDeeds,False
countOfDeedsByOwner(address),ownedDeeds,False
"deedOfOwnerByIndex(address,uint256)","ownedDeeds, ownedDeeds",False
deedsOf(address),ownedDeeds,False
"approve(address,uint256)",deedApprovedFor,True
takeOwnership(uint256),deedOwner,True
approvedFor(uint256),deedApprovedFor,False
"transfer(address,uint256)",,True
withdrawPayments(),"payments, totalPayments, totalPayments, payments",True
FactbarDeed(),,False
function()public{}(),,False
name(),,False
symbol(),,False
supportsInterface(bytes4),"INTERFACE_SIGNATURE_ERC165, INTERFACE_SIGNATURE_ERC721, INTERFACE_SIGNATURE_ERC721Metadata",False
deedUri(uint256),"url, deeds",False
deedName(uint256),deeds,False
getPendingPaymentAmount(address),payments,False
getDeedIds(),deedIds,False
nextPriceOf(uint256),,False
calculateNextPrice(uint256),"increaseLimit1, increaseLimit2, increaseLimit3, increaseLimit4",False
calculateTransferFee(uint256),"increaseLimit1, increaseLimit2, increaseLimit3, increaseLimit4",False
appropriate(uint256),deeds,True
pay(uint256),,True
withdraw(),"owner, totalPayments, owner",True
"create(bytes32,address)","deedNameExists, deedIds, deedIds, owner, deeds, creationPrice, owner",False
addAdmin(address),admins,False
removeAdmin(address),admins,False
setCreationPrice(uint256),creationPrice,False
setUrl(string),url,False
priceOf(uint256),deeds,False
factTeamOf(uint256),deeds,False
