Function Name,State Variables Modified,Can Transfer Ether
changeOwner(address),,False
acceptOwnership(),,True
balanceOf(address),,False
"transfer(address,uint256)",,False
constructor(),,True
addVideo(bytes32),,True
changeDonate(uint256),,True
donateVideo(bytes32),,True
changeAdd(uint256),,False
changeFee(uint8),,False
changeBonus(uint8),,False
getBalance(address),,False
withdrawEth(uint256),,True
function()payableexternal{require(msg.value>0);uint256deduct=msg.value*fee/100;owner.transfer(deduct);balances[msg.sender]+=msg.value-deduct;}(),,True
