Function Name,State Variables Modified,Can Transfer Ether
"transfer(address,uint256)",,False
"approve(address,uint256)",,False
"transferFrom(address,address,uint256)",,False
totalSupply(),,False
balanceOf(address),,False
"allowance(address,address)",,False
constructor(),owner,True
transferOwnership(address),"owner, owner",False
constructor(),"token, timestampStartVote, timestampEndVote, timestampReleaseToken",False
isVotable(),"timestampStartVote, timestampEndVote",False
isReclaimable(),timestampReleaseToken,False
countVoteUser(),,False
countVoteScore(),,False
getVoteByAddress(address),,False
voteKeep(uint256),"token, token",True
reclaimToken(),"token, token",True
adminCountReclaimableUser(),,False
adminCheckReclaimableAddress(uint256),,False
adminCheckReclaimableToken(uint256),,False
adminCheckVoteAddress(uint256),,False
adminCheckVoteToken(uint256),,False
adminReclaimToken(address),"token, token",True
adminSweepMistakeTransferToken(),"token, token, owner, token",True
