Function Name,State Variables Modified,Can Transfer Ether
WeiCards(address),,False
getCards(),,False
getCardsDetails(),,False
getCardDetails(uint8),,False
getCard(uint8),,False
"initialBuyCard(uint8,string,string,string)",,True
"buyCard(uint8,string,string,string)",,True
"editCard(uint8,string,string,string)",,True
"sellCard(uint8,uint)",,False
cancelSellCard(uint8),,False
"setLeaseCard(uint8,uint,uint)",,False
cancelLeaseOffer(uint8),,False
"leaseCard(uint8,string,string,string)",,True
getLastLease(uint8),,False
"getLease(uint8,uint)",,False
getCardLeaseLength(uint8),,False
"transferCardOwnership(address,uint8)",,False
getBalance(),,True
withdraw(),,True
computeInitialPrice(uint8),,False
"setNSFW(uint8,bool)",,False
