Function Name,State Variables Modified,Can Transfer Ether
"tokenFallback(address,uint256)",,False
totalSupply(),,False
balanceOf(address),,False
"transfer(address,uint256)",,False
"allowance(address,address)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
"syncAttributeValue(address,bytes32,uint256)",,False
constructor(),"owner, owner",True
initialize(),owner,True
"setAttribute(address,bytes32,uint256,bytes32)",,True
"subscribe(bytes32,)",,False
"unsubscribe(bytes32,uint256)",,False
subscriberCount(bytes32),,False
"setAttributeValue(address,bytes32,uint256)",,True
"hasAttribute(address,bytes32)",,False
"getAttribute(address,bytes32)",,False
"getAttributeValue(address,bytes32)",,False
"getAttributeAdminAddr(address,bytes32)",,False
"getAttributeTimestamp(address,bytes32)",,False
"syncAttribute(bytes32,uint256,)",,False
reclaimEther(address),,True
"reclaimToken(,address)",,True
transferOwnership(address),pendingOwner,False
claimOwnership(),"owner, pendingOwner, owner, pendingOwner, pendingOwner",False
Ownable(),owner,True
transferOwnership(address),"owner, owner",False
transferOwnership(address),pendingOwner,False
claimOwnership(),"owner, pendingOwner, owner, pendingOwner, pendingOwner",False
"addBalance(address,uint256)","balanceOf, balanceOf",False
"subBalance(address,uint256)","balanceOf, balanceOf",False
"setBalance(address,uint256)",balanceOf,False
"addAllowance(address,address,uint256)","allowanceOf, allowanceOf",False
"subAllowance(address,address,uint256)","allowanceOf, allowanceOf",False
"setAllowance(address,address,uint256)",allowanceOf,False
constructor(),"owner, owner",True
transferOwnership(address),pendingOwner,False
claimOwnership(),"owner, pendingOwner, owner, pendingOwner, pendingOwner",False
reclaimEther(address),,True
"reclaimToken(,address)",,True
reclaimContract(),owner,True
totalSupply(),,False
balanceOf(address),,False
"approve(address,uint256)",,True
"increaseApproval(address,uint)",,True
"decreaseApproval(address,uint)",,True
"allowance(address,address)",,False
burn(uint256),,True
"setBurnBounds(uint256,uint256)","burnMin, burnMax",False
sponsorGas2(),,False
sponsorGas(),minimumGasPriceForFutureRefunds,False
minimumGasPriceForRefund(),,False
remainingGasRefundPool(),,False
gasRefundPool(uint256),,False
setMinimumGasPriceForFutureRefunds(uint256),"registry, minimumGasPriceForFutureRefunds",True
"transfer(address,uint256)",,True
"transferFrom(address,address,uint256)",,True
"mint(address,uint256)",,False
setRegistry(),"registry, registry",False
"syncAttributeValue(address,bytes32,uint256)",,False
wipeBlacklistedAccount(address),,False
paused(),,False
delegateTotalSupply(),,False
delegateBalanceOf(address),,False
"delegateTransfer(address,uint256,address)",,True
"delegateAllowance(address,address)",owner,False
"delegateTransferFrom(address,address,uint256,address)",,True
"delegateApprove(address,uint256,address)",,False
"delegateIncreaseApproval(address,uint,address)",,False
"delegateDecreaseApproval(address,uint,address)",,False
"constructor(address,uint256)",,False
initialize(),"owner, burnMin, burnMax",True
decimals(),,False
rounding(),,False
name(),,False
symbol(),,False
