Function Name,State Variables Modified,Can Transfer Ether
balanceOf(address),,False
"transfer(address,uint256)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
"allowance(address,address)",,False
"transfer(address,uint256)","infos, index, infos, index, infos, index, infos, index, infos, index",True
"transferFrom(address,address,uint256)","infos, index, infos, index, infos, index, infos, index, infos, index",True
balanceOf(address),"infos, index",False
"approve(address,uint256)",,True
"changeApproval(address,uint256,uint256)",,True
"allowance(address,address)",,False
constructor(),"fundWallet, controlWallet, infos, index, fundWallet, totalSupply, infos, index, fundWallet, whitelist, fundWallet, whitelist, controlWallet, totalHolder, index, infos",True
verifyParticipant(address),whitelist,False
"withdraw_to(address,uint256,uint256,uint256)","withdrawals, infos, index, infos, index, withdrawals",False
addLiquidity(),,False
removeLiquidity(uint256),fundWallet,True
changeFundWallet(address),fundWallet,False
changeControlWallet(address),controlWallet,False
halt(),halted,False
unhalt(),halted,False
enableTrading(),tradeable,False
disableTrading(),tradeable,False
claimTokens(address),fundWallet,True
"transfer(address,uint256)","index, totalHolder, totalHolder, index, totalHolder, infos, index",True
"transferFrom(address,address,uint256)","index, totalHolder, totalHolder, index, totalHolder, infos, index",True
"burn(address,uint256)","infos, index, infos, index, infos, index, totalSupply, totalSupply",False
