Function Name,State Variables Modified,Can Transfer Ether
totalSupply(),,False
balanceOf(address),,False
"allowance(address,address)",,False
"transfer(address,uint)",,False
"approve(address,uint)",,False
"transferFrom(address,address,uint)",,False
Owned(),owner,True
transferOwnership(address),newOwner,False
acceptOwnership(),"newOwner, owner, newOwner, owner, newOwner, newOwner",True
constructor(),"faucetTokenAddress, priceInWeiPerSatoshi",False
dispense(address),faucetTokenAddress,True
calculateDispensedTokensForGasPrice(uint256),"priceInWeiPerSatoshi, priceInWeiPerSatoshi",False
tokenBalance(),faucetTokenAddress,False
getWeiPerSatoshi(),priceInWeiPerSatoshi,False
setWeiPerSatoshi(uint256),priceInWeiPerSatoshi,False
function()publicpayable{revert();}(),,False
withdrawEth(uint256),owner,True
"transferAnyERC20Token(address,uint256)",owner,True
