Function Name,State Variables Modified,Can Transfer Ether
constructor(),"name, symbol, decimals, totalSupply, decimals, owner, balanceOf, totalSupply",True
transferOwnership(address),"owner, owner",True
totalSupply(),totalSupply,False
balanceOf(address),balanceOf,False
"transfer(address,uint256)",,True
"transferFrom(address,address,uint256)","allowance, allowance, allowance",True
"freezeAddress(address,bool)","owner, owner, frozenAddress",True
"approve(address,uint256)","frozenAddress, frozenAddress, allowance",True
burn(uint256),"frozenAddress, balanceOf, balanceOf, balanceOf, totalSupply, totalSupply",True
"burnFrom(address,uint256)","frozenAddress, frozenAddress, balanceOf, allowance, balanceOf, balanceOf, allowance, allowance, totalSupply, totalSupply",True
