Function Name,State Variables Modified,Can Transfer Ether
purchasedAmountBy(address),"earlyPurchases, earlyPurchases, earlyPurchases",False
numberOfEarlyPurchases(),earlyPurchases,False
"appendEarlyPurchase(address,uint,uint)","PURCHASE_AMOUNT_CAP, earlyPurchases",False
closeEarlyPurchase(),earlyPurchaseClosedAt,False
setup(address),"starbaseCrowdsale, starbaseCrowdsale",False
earlyPurchases(uint),starbaseEarlyPurchase,False
purchasedAmountBy(address),,False
numberOfEarlyPurchases(),,False
setup(address),"starbaseCrowdsale, starbaseCrowdsale",False
invalidateEarlyPurchase(uint),"invalidEarlyPurchaseIndexes, invalidEarlyPurchaseIndexes, invalidEarlyPurchaseIndexes",False
"amendEarlyPurchase(uint,address,uint,uint)","amendedEarlyPurchaseIndexes, amendedEarlyPurchases",False
loadStarbaseEarlyPurchases(address),"starbaseEarlyPurchase, starbaseEarlyPurchase, starbaseEarlyPurchase",False
