Function Name,State Variables Modified,Can Transfer Ether
certified(address),,False
"tokenFallback(address,uint,bytes)",,False
totalSupply(),,False
balanceOf(address),,False
"transfer(address,uint256)",,False
"transfer(address,uint,bytes)",,False
setCEO(address),ceoAddress,False
setCMO(address),cmoAddress,False
setCSO(address),csoAddress,False
setCFO(address),cfoAddress,False
setShopModerator(address),shopModerators,False
removeShopModerator(address),shopModerators,False
setTellerModerator(address),tellerModerators,False
removeTellerModerator(address),tellerModerators,False
pause(),paused,False
unpause(),paused,False
isTier1(address),smsCertifier,False
isTier2(address),kycCertifier,False
setSmsCertifier(address),"run1, smsCertifier, run1",False
setKycCertifier(address),"run2, kycCertifier, run2",False
"setLicenceShopPrice(bytes2,uint)",licenceShop,False
"setLicenceTellerPrice(bytes2,uint)",licenceTeller,False
openZoneShop(bytes2),openedCountryShop,False
closeZoneShop(bytes2),openedCountryShop,False
openZoneTeller(bytes2),openedCountryTeller,False
closeZoneTeller(bytes2),openedCountryTeller,False
getWeiPriceOneUsd(),,False
withdrawDthTeller(address),,False
withdrawDthShop(address),,False
"withdrawDthShopAdmin(address,address)",,False
"addTokenShop(address,uint)",,False
"addTokenTeller(address,uint)",,False
"addEthTeller(address,uint)",,False
"withdrawEth(address,address,uint)",,False
refundEth(address),,False
getDthTeller(address),,False
getDthShop(address),,False
getEthBalTeller(address),,False
getWeiSoldToday(address),,False
transferOwnership(address),,False
"initContract(address,address)","dth, bank",False
setPriceOracle(address),priceOracle,False
"updateTeller(int8,bytes16,int8,int16,bool)",bank,True
"setSellDailyLimit(uint,bytes2,uint256)",,False
"getSellDailyLimit(uint,bytes2)",,False
"getPairSellLoyaltyPerc(address,address)",pairSellsLoyaltyPerc,False
getLoyaltyPoints(address),,False
"sellEth(address,uint)","bank, smsCertifier, pairSellsLoyaltyPerc, pairSellsLoyaltyPerc, pairSellsLoyaltyPerc",True
switchStatus(bool),,True
addFunds(),bank,True
deleteTeller(),"tellerIndex, tellerIndex, tellerIndex, tellerIndex, bank, bank",True
deleteTellerMods(address),"tellerIndex, tellerIndex, tellerIndex, tellerIndex, bank, bank",True
deleteShop(),"shopIndex, shopIndex, shopIndex, shopIndex, bank",True
deleteShopMods(address),"shopIndex, shopIndex, shopIndex, shopIndex, bank, bank, csoAddress",True
getTeller(address),bank,False
getShop(address),,False
getReput(address),,False
getTellerBalance(address),bank,False
"getZoneShop(bytes2,bytes16)",,False
getAllShops(),shopIndex,False
isShop(address),,False
"getZoneTeller(bytes2,bytes16)",,False
getAllTellers(),tellerIndex,False
isTeller(address),,False
getStakedShop(address),bank,False
getStakedTeller(address),bank,False
transferBankOwnership(address),bank,True
